,show_id,type,title,director,cast,country,date_added,release_year,duration,description,genre
4654,s4655,TV Show,One Spring Night,,"Han Ji-min, Jung Hae-in, Kim Jun-han, Yim Sung-eon, Song Seung-hwan, Kil Hae-yeon, Lee Moo-saeng, Kim Chang-wan",South Korea,"July 12, 2019",2019,1,"When Lee Jeong-in and Yu Ji-ho meet, something unexpected happens. Or it just may be that spring is in the air – and anything is possible.",International TV
4655,s4656,TV Show,One Strange Rock,,Will Smith,United States,"February 2, 2019",2018,1,"Hosted by Will Smith, this series follows eight astronauts who share their unique perspectives on Earth, the fragile and beautiful planet we call home.",Docuseries
4657,s4658,TV Show,One-Punch Man,,"Makoto Furukawa, Kaito Ishikawa, Yuki Kaji, Aoi Yuki, Kazuhiro Yamaji, Kenjiro Tsuda, Minami Takayama, Tessho Genda",Japan,"March 20, 2017",2015,1,"The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him, so he struggles with ennui and depression.",Anime Series
4668,s4669,TV Show,Operation Gold Rush,,"Dan Snow, Felicity Ashton, Kevin Fong, Alisdair Simpson",United Kingdom,"February 1, 2019",2016,1,A team of modern-day adventurers follows the footsteps of the money-hungry explorers who trekked the Klondike in search of Canadian gold.,British TV
4671,s4672,TV Show,Operation Ouch!,,"Chris van Tulleken, Xand van Tulleken",United Kingdom,"August 1, 2020",2012,1,Drs. Chris and Xand van Tulleken take an entertaining approach to educate children about medicine and biology through experiments and hospital visits.,British TV
4672,s4673,TV Show,Operation Proposal,,"Seung-ho Yoo, Eun-bin Park, Kyung-pyo Go, Ye-won Kim, Hyun Jin Lee, Jin-joo Park",South Korea,"July 1, 2016",2012,1,"On Yi-seul's wedding day, her friend Baek-ho wishes he could turn back time to tell her he loves her. Soon he gets a chance to change everything.",International TV
4677,s4678,TV Show,Orange Is the New Black,,"Taylor Schilling, Kate Mulgrew, Laura Prepon, Jason Biggs, Natasha Lyonne, Michael Harney, Uzo Aduba, Danielle Brooks, Samira Wiley, Dascha Polanco, Selenis Leyva, Nick Sandow, Yael Stone, Taryn Manning, Lea DeLaria, Matt McGorry, Emma Myles, Vicky Jeudy, Laverne Cox, Pablo Schreiber, Lori Petty, Ruby Rose, Adrienne C. Moore, Jackie Cruz, Elizabeth Rodriguez",United States,"July 26, 2019",2019,7,"A privileged New Yorker ends up in a women's prison when a past crime catches up with her in this Emmy-winning series from the creator of ""Weeds.""",TV Comedies
4679,s4680,TV Show,Ordinary Heroes,,"Giorgio Tirabassi, Marco Bocci, Cristiana Capotondi, Greta Scarano, Michela Cescon, Diane Fleri, Carlo Calderone, Claudio Gioè, Romina Mondello, Orlando Cinque, Luigi Maria Burruano, Riccardo Scamarcio, Lorenza Indovina, Ivana Lotito, Pierfrancesco Poggi, Marco Leonardi, Anna Ferruzzo, Peppino Mazzotta, Giorgio Marchesi",,"October 11, 2018",2018,1,"Get an intimate look at four engaged citizens whose courage, sense of civic duty and ultimate sacrifice helped to transform Italian society.",Crime TV
4683,s4684,TV Show,Origins Collection,Peter McDonnell,,United States," July 20, 2018",2018,3,"This documentary series explores the stories behind history's most fascinating innovations, including games, technology, sports, medicine and more.",Docuseries
4685,s4686,TV Show,Oscar's Oasis,,,France,"March 15, 2015",2011,1,"Plucky lizard Oscar spends his time trying to avoid the hazards of the desert, including marauding chickens and bumbling adversaries.",Kids
4686,s4687,TV Show,Osmosis,,"Agathe Bonitzer, Hugo Becker, Gaël Kamilindi, Manoël Dupont, Stéphane Pitti, Luna Silva, Yuming Hey, Suzanne Rault-Balet, Philypa Phoenix, Lena Lapres, Waly Dia, Aurélia Petit, Lionel Lingelser, Fabien Ducommun",France,"March 29, 2019",2019,1,"In near-future Paris, two brilliant siblings unveil a high-tech implant designed to pair up soul mates. But the beta test yields unwelcome surprises.",International TV
4696,s4697,TV Show,Our Planet,,David Attenborough,United States,"April 5, 2019",2019,1,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,Docuseries
4700,s4701,TV Show,Ouran High School Host Club,Takuya Igarashi,"Maaya Sakamoto, Monica Rial, Vic Mignogna, Luci Christian, Mamoru Miyano, Kenichi Suzumura, Mike McFarland, Caitlin Glass, Ayaka Saito, Daisuke Kirii",Japan,"April 1, 2017",2006,1,"New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school.",Anime Series
4704,s4705,TV Show,Outback Truckers,,,Australia,"March 17, 2017",2015,3,"Australia's toughest big-rig drivers brave wildfires, scorching deserts, treacherous downpours and chassis-deep mud to deliver their cargo on time.",Reality TV
4705,s4706,TV Show,Outer Banks,,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow, Charles Esten, Adina Porter, Austin North, Drew Starkey",United States,"April 15, 2020",2020,1,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",TV Action
4706,s4707,TV Show,Outlander,,"Caitriona Balfe, Sam Heughan, Tobias Menzies, Gary Lewis, Graham McTavish, Lotte Verbeek, Duncan Lacroix, Laura Donnelly, Bill Paterson, Stephen Walters, Grant O'Rourke, Simon Callow, Richard Rankin, Sophie Skelton, David Berry, Romann Berrux, Ed Speleers, Maria Doyle Kennedy, Tim Downie",United States,"December 10, 2019",2017,3,This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.,Romantic TV
4711,s4712,TV Show,Over Christmas,,"Luke Mockridge, Seyneb Saleh, Cristina do Rego, Lucas Reiber, Johanna Gastdorf, Rudolf Kowalski, Carmen-Maja Antoni, Eugen Bauder, Jonathan Kwesi Aikins, Martina Eitner-Acheampong, Eike Weinreich, Eskindir Tesfay",Germany,"November 27, 2020",2020,1,Down-and-out musician Bastian battles the blues as he returns home for Christmas and encounters a series of not-so-cheery surprises.,International TV
4716,s4717,TV Show,Ozark,,"Jason Bateman, Sofia Hublitz, Laura Linney, Skylar Gaertner, Jason Butler Harner, Esai Morales, Peter Mullan, Lisa Emery",United States,"March 27, 2020",2020,3,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",Crime TV
4719,s4720,TV Show,P. King Duckling,,"Marc Thompson, Benjie Randall, Courtney Shaw",United States,"November 7, 2017",2016,1,"P. King, the daring but hapless duck, teams up with best buddies Wombat and Chumpkins to find wacky and wild ways to solve their problems.",Kids
4722,s4723,TV Show,Paap-O-Meter,,,,"November 20, 2018",2017,1,"A trio of sky-dwelling ghosts must travel to Earth to teach sinning humans a lesson, but they somehow manage to botch each well-intentioned mission.",Kids
4724,s4725,TV Show,Paava Kadhaigal,"Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran","Kalidas Jayaram, Shanthnu Bhagyaraj, Bhavani Sre, Kalki Koechlin, Anjali, Padam Kumar, Prakash Raj, Sai Pallavi, Hari, Gautham Vasudev Menon, Simran",India,"December 18, 2020",2020,1,"At times dark, at times disturbing, four short films explore stories of those who dare to dream and desire — and those determined to stand in their way.",International TV
4725,s4726,TV Show,Pablo,,"Jake Williamson, Rachael Dickson, Sumita Majumdar, Michael White, Tony Finnegan, Scott Mulligan, Rosie King",United Kingdom,"March 30, 2019",2017,1,"Equipped with crayons and his creativity, a boy with autism draws an imaginary world where his animal pals help him tackle real-life situations.",British TV
4726,s4727,TV Show,"Pablo Escobar, el patrón del mal",,"Andrés Parra, Angie Cepeda, Cecilia Navia, Vicky Hernández, Christian Tappán, Rodolfo Silva, Tommy Vasquez, Toto Vega, Nicolás Montero, Marcela Gallego",Colombia,"June 1, 2017",2012,1,"From his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous Pablo Escobar.",Crime TV
4728,s4729,TV Show,Pac-Man and the Ghostly Adventures,,"Erin Mathews, Sam Vincent, Andrea Libman, Ashleigh Ball, Ian James Corlett, Brian Drummond, Lee Tockar, Matt Hill",United States,"June 20, 2017",2014,2,Teenage Pac and his loyal crew face the ups and downs of adolescence while protecting Pac-World from a ghostly army led by the evil Betrayus.,Kids
4731,s4732,TV Show,Pacific Heat,,"Rob Sitch, Santo Cilauro, Tom Gleisner, Rebecca Massey, Lucia Mastrantone",Australia,"December 2, 2016",2016,1,"In this animated satire, a covert squad of operatives short on smarts but long on confidence tackles crime on the glitzy Gold Coast of Australia.",Crime TV
4734,s4735,TV Show,Padamu Aku Bersujud,,"Syazwan Zulkifli, Sqikin Kamal, Leez Rosli, Bil Azali, Shenthy Feliziana, Jasmine Suraya, Aleza Shadan, Nina Iskandar",,"December 1, 2017",2015,1,"The son of poor farmers leaves his village to seek his fortune in Kuala Lumpur, where he meets a young woman who's also trying to better her life.",International TV
4744,s4745,TV Show,Pajanimals,,"John Kennedy, Victor Yerrid, Donna Kimball, Alice Dinnean, Paul Currie, Michael Winsor, Josh Elwell, Sarah Lyle",United States,"March 31, 2020",2011,1,"From the comfort of their bedroom, the Pajanimals puppets explore a larger world through imaginary adventures, accompanied by friendships and songs.",Kids
4745,s4746,TV Show,Palazuelos mi rey,,Roberto Palazuelos,,"February 13, 2020",2019,1,"This reality series follows entrepreneur and soap opera star Roberto Palazuelos as he builds his hotel empire and juggles riches, women and drama.",International TV
4750,s4751,TV Show,Pandemic: How to Prevent an Outbreak,,,United States,"January 22, 2020",2020,1,"In this docuseries, meet the heroes on the front lines of the battle against influenza and learn about their efforts to stop the next global outbreak.",Docuseries
4759,s4760,TV Show,Paprika,,"Kaycie Chase, David Gasman, Tom Morton, Lee Delong, Barbara Weber-Scaff",,"January 31, 2019",2018,1,Stan and Olivia – the amazingly different Paprika twins – use their boundless enthusiasm to turn everyday life into an extraordinary adventure.,Kids
4760,s4761,TV Show,Paquita Salas,,"Brays Efe, Belén Cuesta, Lidia San José, Álex de Lucas, Mariona Terés",Spain,"June 28, 2019",2018,3,"One of Spain's best talent agents in the '90s, Paquita now finds herself searching desperately for new stars after suddenly losing her biggest client.",International TV
4763,s4764,TV Show,Paradise PD,,"Tom Kenny, David Herman, Sarah Chalke, Kyle Kinane, Dana Snyder, Cedric Yarbrough, Grey Griffin, John DiMaggio, Roger Black, Waco O'Guin",United States,"March 6, 2020",2020,2,"An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case.",TV Comedies
4765,s4766,TV Show,Paranoid,,"Indira Varma, Robert Glenister, Dino Fetscher, Neil Stuke, Christiane Paul, Lesley Sharp, Kevin Doyle",United Kingdom,"November 17, 2016",2016,1,"When a woman is brutally murdered on a playground, a group of detectives find themselves drawn into a dark conspiracy as they search for the killer.",British TV
4766,s4767,TV Show,Paranormal,,"Ahmed Amin, Razane Jammal, Ayah Samaha, Samaa Ibrahem, Roshdy El Shamy, Reem Abd El Kader",Egypt,"November 5, 2020",2020,1,"After a skeptical hematologist is plunged into a series of inexplicable events, he unwillingly becomes the go-to-guy for paranormal investigations.",International TV
4769,s4770,TV Show,Paranormal Survivor,,,Canada," August 4, 2017",2016,2,"In interviews and reenactments, ordinary people relive their terrifying encounters with unwelcome guests from beyond the world of the living.",Docuseries
4771,s4772,TV Show,Parasyte: The Maxim,,"Nobunaga Shimazaki, Aya Hirano, Kana Hanazawa, Kiyono Yasuno, Rena Maeda, Miyuki Sawashiro, Hiroyuki Yoshino, Atsuko Tanaka",Japan,"May 15, 2020",2014,1,"A teenager battles an onslaught of parasites from space with help from Migi, a docile parasitic creature that's taken over his right hand.",Anime Series
4779,s4780,TV Show,Parks and Recreation,,"Amy Poehler, Rashida Jones, Aziz Ansari, Nick Offerman, Aubrey Plaza, Chris Pratt, Jim O'Heir, Retta, Adam Scott, Rob Lowe, Paul Schneider",United States," January 13, 2016",2015,7,"In this Emmy-nominated comedy, an employee with a rural Parks and Recreation department is full of energy and ideas but bogged down by bureaucracy.",TV Comedies
4782,s4783,TV Show,Part-Time Idol,,"Hee-jeong Kim, Seung-un Hwang, Soo-hyun Lee, Hyun-bin Kwon, Young-deuk Kwon, Kim Min-kyo",,"December 25, 2017",2017,1,"After taking a break from the business, a music producer returns with a new project in mind: launching a co-ed pop idol group.",International TV
4784,s4785,TV Show,Pasión de Gavilanes,,"Danna García, Mario Cimarro, Paola Rey, Jorge Cao, Juan Alfonso Baptista, Michel Brown, Gloria Gómez, Kristina Lilley, Natasha Klauss, Ana Lucía Domínguez, Zharick León, Lorena Meritano",Colombia,"May 4, 2017",2003,1,"Three brothers seek to avenge the tragic death of a loved one, but become emotionally entangled with the daughters of those they hold responsible.",International TV
4787,s4788,TV Show,Passion. Panache. Pep,,,,"February 21, 2020",2020,1,"From delicious delicacies to dream destinations, this collection features vibrant stories on cultural trends across food, fashion and travel in India.",International TV
4788,s4789,TV Show,Pat a Pat Como,,,,"October 3, 2020",2016,1,"For Como and his friends, each new adventure is a lesson on why it's important to be considerate — and to take care of one another!",Kids
4793,s4794,TV Show,Patriot Act with Hasan Minhaj,,Hasan Minhaj,United States,"May 17, 2020",2020,6,"Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series.",Stand-Up
4797,s4798,TV Show,Patton Oswalt: I Love Everything,Marcus Raboy,"Patton Oswalt, Bob Rubin",United States,"May 19, 2020",2020,1,Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special.,Stand-Up
4800,s4801,TV Show,Paul Hollywood's Big Continental Road Trip,,Paul Hollywood,United Kingdom,"September 29, 2017",2017,1,"Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.",British TV
4802,s4803,TV Show,Pawn Stars,,"Corey Harrison, Richard Harrison, Rick Harrison, Austin ""Chumlee"" Russell",United States,"September 15, 2019",2010,1,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas.",Reality TV
4806,s4807,TV Show,Peaky Blinders,,"Cillian Murphy, Sam Neill, Helen McCrory, Paul Anderson, Iddo Goldberg, Annabelle Wallis, Sophie Rundle, Tom Hardy, Joe Cole, Ned Dennehy, Andy Nyman, Charlie Creed-Miles, Charlotte Riley, David Dawson, Jeffrey Postlethwaite, Matthew Postlethwaite, Ian Peck, Tony Pitts, Aidan Gillen, Adrien Brody, Charlie Murphy, Aimee-Ffion Edwards",United Kingdom,"October 4, 2019",2019,5,"A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost.",British TV
4807,s4808,TV Show,Peasants Rebellion,,"Ward El Kal, Aimée Sayah, Bassem Moughnie, Carlos Azar, Sara Abi Kanaan, Wesam Hanna",Lebanon,"April 1, 2019",2018,1,"In feudalistic Lebanon, farmers revolt against the nobility under the leadership of a revolutionary figure who champions the oppressed.",International TV
4811,s4812,TV Show,Pee-wee's Playhouse,,Paul Reubens,United States," December 18, 2014",1990,5,"Pee-wee Herman brings his stage show to the masses with this innovative live-action kids series that invites viewers into his quirky, childlike world.",Classic
4821,s4822,TV Show,Penny Dreadful,,"Josh Hartnett, Eva Green, Timothy Dalton, Reeve Carney, Rory Kinnear, Billie Piper, Danny Sapani, Harry Treadaway",Ireland,"September 17, 2016",2016,3,"The classic tales of Dracula, Frankenstein, Dorian Gray and more are woven together in this horror series set on the dark streets of Victorian London.",TV Dramas
4822,s4823,TV Show,People Just Do Nothing,,"Allan Mustafa, Hugo Chegwin, Asim Chaudhry, Lily Brazier, Olivia Jasmine Edwards, Dan Sylvester, Steve Stamp, Ruth Bratt, George Keywood, Maria Louis",United Kingdom,"December 22, 2018",2018,5,Spinning old-school beats is just another day at the office for the naive DJs of a pirate radio station who juggle family life with their passion.,British TV
4829,s4830,TV Show,Perfume,,"Friederike Becht, August Diehl, Wotan Wilke Möhring, Natalia Belitski, Ken Duken, Trystan Pütter, Christian Friedel, Juergen Maurer, Marc Hosemann, Susanne Wuest",Germany,"December 21, 2018",2018,1,"When a singer is found murdered, with her scent glands excised from her body, detectives probe a group of friends who attended boarding school with her.",Crime TV
4831,s4832,TV Show,Person of Interest,,"Jim Caviezel, Michael Emerson, Taraji P. Henson, Kevin Chapman, Sarah Shahi, Amy Acker",United States," September 22, 2016",2016,5,Ex-CIA agent John Reese and enigmatic billionaire Mr. Finch use software that can predict future events to prevent violent crimes before they occur.,Crime TV
4832,s4833,TV Show,Persona,"Lee Kyoungmi, Yim Pilsung, Jeon Go-woon, Kim Jong-kwan","Lee Ji-eun (IU), Bae Doona, Park Hae Soo, Kim Tae-hun, Shim Dal-gi, Lee Sung-wook, Jung Jun Won",South Korea,"April 11, 2019",2019,1,An exploration of different personas in an eclectic collection of four works by critically acclaimed Korean directors.,International TV
4858,s4859,TV Show,PILI Fantasy: War of Dragons,,"Wang Hsi-hua, Lai Wei, Zhang Yu-quan, Chen Yu-kuan, Gao Ming-xiao, Tian Zhi-jie, Li Xiang-yu, Guo Ya-zhen, Zhan Yi-chun, Ye Yu-jia",,"July 12, 2019",2019,1,"As turmoil looms in the Martial World, and the Eight Wonders of the Evil Dragon unleashes dark forces, who will emerge as the new warrior legend?",International TV
4860,s4861,TV Show,Pine Gap,Mat King,"Parker Sawyers, Jacqueline McKenzie, Steve Toussaint, Tess Haubrich, Stephen Curry, Lewis Fitz-Gerald, Mark Leonard Winter",Australia,"December 7, 2018",2018,1,"At top-secret U.S.-Australian joint defense facility Pine Gap, fissures appear in the critical alliance as spies work with, and against, each other.",International TV
4864,s4865,TV Show,Pinky Malinky,,"Lucas Grabeel, Nathan Kress, Diamond White, Danny Jacobs, Retta, Colleen Smith, Vargus Mason, Lauren Tom, Robbie Daymond, Grey Griffin",United States,"July 17, 2019",2019,3,"Pinky Malinky sees the bright side of everything, including being born a hot dog. With his BFFs in tow, this little wiener takes a bite out of life.",Kids
4866,s4867,TV Show,Pioneers of African-American Cinema,"Oscar Micheaux, Spencer Williams, Richard E. Norman, Richard Maurice",,United States,"February 1, 2017",1946,1,This newly preserved collection features more than 20 films made by groundbreaking African American directors for black audiences from 1915 to 1946.,TV Shows
4867,s4868,TV Show,Pioneers: First Women Filmmakers*,,,,"December 30, 2018",1925,1,"This collection restores films from women who tackled hot-button issues, transcended norms, and left a mark on the history of cinema and the industry.",TV Shows
4871,s4872,TV Show,PJ Masks,,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley",France,"January 15, 2020",2018,2,"Three 6-year-old kids who live normal lives during the day become superheroes at night, fighting crime as a team known as PJ Masks.",Kids
4875,s4876,TV Show,Planet Earth II,,David Attenborough,United Kingdom,"December 25, 2017",2016,1,"In this sequel to the Emmy-winning ""Planet Earth"" series, viewers are treated to rich and intimate views of the natural diversity of our planet.",British TV
4876,s4877,TV Show,Planet Earth: The Complete Collection,Alastair Fothergill,David Attenborough,United Kingdom,"April 22, 2015",2006,1,This landmark series transports nature lovers from the Himalayan Mountains to the depths of the ocean and everywhere in between.,British TV
4884,s4885,TV Show,Playing with Fire,,"Jason Day, Margarita Rosa de Francisco, Carlos Ponce, Gaby Espino, Laura Perico, Alejandro Aguilar, Tony Plana, Marcelo Serrado, Leticia Huijara, Germán Quintero, Luis Alberti, Ricardo Vesga, Yuri Vargas, Álvaro Rodríguez, Juan David Restrepo",United States,"January 22, 2020",2019,1,Three prosperous women – including a mother and her daughter – fall for a seductive man in Colombia's Coffee Triangle.,International TV
4887,s4888,TV Show,Pocoyo,,"Stephen Fry, Alex Marty",Spain,"January 10, 2019",2017,4,Discovery is the name of the game for friendly toddler Pocoyo in this lifelike and richly colored animated adventure series for preschoolers.,Kids
4895,s4896,TV Show,Pokémon Journeys: The Series,,"Ikue Otani, Sarah Natochenny, Zeno Robinson, James Carter Cathcart, Michele Knotz, Cherami Leigh, Rodger Parsons, Ray Chase, Casey Mongillo",,"December 4, 2020",2020,3,"Young trainer Ash and his new friend Goh become research fellows at Professor Cerise's laboratory, traveling all over the world to learn about Pokémon.",Anime Series
4898,s4899,TV Show,Pokémon the Series,,"Sarah Natochenny, Laurie Hymes, Jessica Paquet, Rosie Reyes, Alyson Leigh Rosenfeld, Marc Swint, Rodger Parsons",,"April 1, 2020",2019,3,"Ash and his Pikachu travel to the Alola region with his mother and enroll in the Pokémon school, where they confront the nefarious Team Skull.",Anime Series
4899,s4900,TV Show,Pokémon: Indigo League,,"Rica Matsumoto, Ikue Otani, Mayumi Iizuka, Megumi Hayashibara, Unsho Ishizuka",Japan,"January 1, 2018",2000,1,"Explore the world of Pokémon with 10-year-old Ash Ketchum and his partner, Pikachu, as they aim for Ash's ultimate goal: becoming a Pokémon master.",Anime Series
4903,s4904,TV Show,Polly Pocket,,"Emily Tennant, Shannon Chan-Kent, Kazumi Evans, Patricia Drake, Rhona Rees, Ian Hanlin, Maryke Hendrikse, Vincent Tong, David Kaye, Ellen Kennedy",Canada,"November 15, 2020",2020,2,"After uncovering a magical locket that allows her to shrink in size, Polly and her friends set out on big adventures with petite power.",Kids
4904,s4905,TV Show,Ponysitters Club,,"Morgan Neundorf, Madeline Leon, Khiyla Aynne, Cailan Laine Punnewaert, Zyon Allen, Maya Franzoi, Victoria Tomazelli, Hugh Wilson, Diana Chrisman",Canada,"November 16, 2018",2018,2,A young horse enthusiast teams up with her best friends to rescue and rehabilitate animals on her family's beloved ranch.,Kids
4906,s4907,TV Show,Pop Team Epic,,,Japan,"February 1, 2020",2018,1,This animated adaptation of the quirky four-panel comic brings the random exploits of Popuko and Pipimi to life.,Anime Series
4910,s4911,TV Show,Popples,,"Erin Fitzgerald, Wendee Lee, Cassandra Morris, Cindy Robinson, Reba Buhr, Ben Diskin, Ezra Weisz, Karen Strassman",United States,"July 24, 2016",2016,3,"The adorable Best Popple Pals love helping their friends and neighbors, but every time they do it seems to backfire in hilarious ways.",Kids
4911,s4912,TV Show,Pororo - The Little Penguin,,,South Korea,"April 19, 2019",2013,2,"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.",Kids
4912,s4913,TV Show,Portlandia,,"Fred Armisen, Carrie Brownstein",United States,"September 25, 2019",2018,8,"Fred Armisen and Carrie Brownstein send up the residents of Portland, Ore. Typical targets include artisanal light bulbs and feminist bookstores.",TV Comedies
4914,s4915,TV Show,Pose,,"Mj Rodriguez, Billy Porter, Evan Peters, Kate Mara, James Van Der Beek, Dominique Jackson, Angelica Ross, Hailie Sahar, Ryan Jamaal Swain, Indya Moore, Dyllon Burnside",United States,"June 11, 2020",2019,2,"In 1987 New York, LGBTQ ball fixture Blanca starts her own house, soon becoming mother to a gifted dancer and a sex worker in love with a yuppie client.",TV Dramas
4918,s4919,TV Show,Possessed,,"Song Sae-byeok, Go Joon-hee, Youn Jung-hoon, Jo Han-sun, Lee Won-jong, Park Gene-woo, Kwon Hyuk-hyun, Park Sang-min",South Korea,"April 4, 2019",2019,1,A reluctant clairvoyant joins forces with a brusque police detective hiding a soft heart to help him solve criminal cases using her psychic abilities.,Crime TV
4923,s4924,TV Show,Powder,,"Manish Chaudhary, Pankaj Tripathi, Geetika Tyagi, Rahul Bagga",India,"February 15, 2018",2010,1,"Two men who grew up in Mumbai's slums are drawn into the city's brutal narcotics trade, where they fight on opposite sides of the law.",Crime TV
4924,s4925,TV Show,Power Battle Watch Car,,"Sang-hyun Um, Tae-yeol Jeon, Yeong-wung Jeong, Hye-won Jeong, Yong-woo Shin, Jin-hong Bae, Do-hyeong Nam, Min-kyu Lee",,"June 1, 2017",2016,1,"Jino and his Watch Car, Bluewill, compete in the Battle League to become world champions. Meanwhile, a dark force threatens to destroy them all.",Kids
4926,s4927,TV Show,Power Players,,"Kieran Walton, Carlos Salazar, Greg Chun, Jamieson Price, Reba Buhr, Todd Haberkorn, Landon McDonald, Scott Whyte, Paul Haapaniemi",United States,"August 1, 2020",2020,2,A kid transforms into an action figure-sized superhero and teams with his toys in a fight against a villainous robot to save the world.,Kids
4927,s4928,TV Show,Power Rangers Beast Morphers,,"Rorrie D. Travis, Jazz Baduwalia, Jacqueline Scislowski, Abraham Rodríguez, Teuila Blakely, Kristina Ho, Cosme Flores, Kevin Copeland",United States,"October 15, 2020",2020,2,A new breed of secret agents must stop a ruthless computer virus and its minions from stealing the unlimited clean energy source that created them.,Kids
4928,s4929,TV Show,Power Rangers Dino Charge,,"Brennan Mejia, Camille Hyde, Yoshi Sudarso, Michael Taber, James Davies, Claire Blackwelder",United States,"December 2, 2015",2015,1,"In the time of dinosaurs, the ancient and powerful Energems were lost on Earth, and now the evil bounty hunter Sledge has returned to find them.",Kids
4929,s4930,TV Show,Power Rangers Dino Super Charge,,"Brennan Mejia, Camille Hyde, Yoshi Sudarso, Michael Taber, James Davies, Claire Blackwelder",,"October 15, 2016",2016,1,Just when you thought the Rangers' mission was accomplished there's an even more difficult challenge for them to face with the arrival of a new enemy.,Kids
4930,s4931,TV Show,Power Rangers Dino Thunder,,"James Napier, Kevin Duhaney, Emma Lahana, Jason David Frank, Jeffrey Parazzo, Katrina Devine, Tom Hern, Miriama Smith, Latham Gaines, James Gaylyn",United States,"January 1, 2016",2004,1,"Dr. Tommy Oliver returns when his students discover the Dino Gems that morph them into the Dino Power Rangers, enabling them to stop the evil Mesogog.",Kids
4931,s4932,TV Show,Power Rangers in Space,,"Tracy Lynn Cruz, Patricia Ja Lee, Christopher Khayman Lee, Justin Nimmo, Roger Velasco, Selwyn Ward, Melody Perkins, Paul Schrier, Jason Narvy, Mioko Fujiwara, Soichiro Hoshi, Yuji Kishimoto, Sanae Kobayashi, Tsuyoshi Takishita, Lex Lang",United States,"January 1, 2016",1998,1,"With the Power Chamber destroyed, former Turbo Power Rangers T.J., Cassie, Carlos and Ashley search for Zordon, who's been abducted by Dark Specter.",Kids
4932,s4933,TV Show,Power Rangers Jungle Fury,,"Jason Smith, Aljin Abella, Anna Hutchison, David de Lautour, Nikolai Nikolaeff, Sarah Thomson, Bede Skinner, Holly Shanahan, Kelson Henderson, Richard Simpson, Cameron Rhodes, Elisabeth Easther, Mark Wright, Derek Judge",United States,"January 1, 2016",2008,1,The Power Rangers travel to California in search of their new master and find him running a pizza parlor – so they join the staff to be trained.,Kids
4933,s4934,TV Show,Power Rangers Lightspeed Rescue,,"Michael Chaturantabut, Sean CW Johnson, Alison MacInnis, Keith Robinson, Sasha Craig, Monica Louwerens, Rhett Fisher, Ron Roggé, Jennifer L. Yen, Kim Strauss",France,"January 1, 2016",2000,1,"As demons rumble from their graves beneath Mariner Bay, a government organization called Lightspeed recruits five civilians to defend the city.",Kids
4934,s4935,TV Show,Power Rangers Lost Galaxy,,"Archie Kao, Reggie Rolle, Danny Slavin, Valerie Vernon, Cerina Vincent, Russell Lawrence, Amy Miller, Melody Perkins, Kazuki Maehara, Eri Tanaka, Terence J. Rotolo, Hiroshi Tsuchida, Tom Whyte, Bob Papenbrook, Mari Maruta",United States,"January 1, 2016",1999,1,"Five teenagers, transformed by the mystical powers of the Quasar Sabers into the Galaxy Power Rangers, battle the evil Scorpius and Captain Mutiny.",Kids
4935,s4936,TV Show,Power Rangers Mystic Force,,"Firass Dirani, Angie Diaz, Richard Brancatisano, Melanie Vallejo, Nic Sampson, John Tui, Peta Rutter, Antonia Prebble, Barnie Duncan, Kelson Henderson, Donogh Rees, Geoff Dolan, Holly Shanahan",United States,"January 1, 2016",2006,1,"When the wicked Undead Army is unleashed, sorceress Udonna empowers five teenagers – the Mystic Force Power Rangers – to save mankind.",Kids
4936,s4937,TV Show,Power Rangers Ninja Steel,,"William Shewfelt, Nico Greetham, Zoe Robins, Peter Sudarso, Chrysti Ane, Caleb Bendit, Chris Reid, Kelson Henderson",United States,"October 15, 2018",2018,2,A new generation of teen heroes uses superhuman ninja powers to battle the intergalactic villain Galvanax and save Earth from destruction.,Kids
